name,code,state,zone,address,latitude,longitude
Badhal,BDHL,Rajasthan,NWR,"Kishangarh Renwal, Rajasthan",27.2520587,75.4516454
XX-BECE,XX-BECE,,,,,
XX-BSPY,XX-BSPY,,,,,
YY-BPLC,YY-BPLC,,,,,
KICHHA,KHH,Uttar Pradesh,NER,"Kichha, Uttar Pradesh",28.913427000000002,79.519746
Sherekan,SRKN,Rajasthan,NWR,"MDR 89, Rajasthan",29.55519806064484,74.43499088287354
Bhukarka,BKKA,Rajasthan,NWR,"Bhukarka, Rajasthan",29.238227312503696,74.75103096105158
Nohar,NHR,Rajasthan,NWR,"State Highway 36, Rajasthan",29.192562738768984,74.77362781763077
Perungudi,PRGD,Tamil Nadu,SR,"Chennai, Tamil Nadu",12.975217,80.231363
Khinaniyan,KNNA,Haryana,NWR,"State Highway 23, Haryana",29.345637263205944,74.7179570607841
JAULKHERA,JKR,,,,21.838466,78.216684
BARSALI,BYS,,,,21.909813,78.03136099999999
GIRWAR,GW,,,,23.838185999999997,78.936311
DANGIDHAR,DGD,,,,23.871771000000003,79.019912
DHODHAR,DOD,Madhya Pradesh,WR,"Dhodar, Madhya Pradesh",23.770740999999997,75.10354600000001
GANESHGANJ,GAJ,,,,23.895862,79.074633
Jayanagar Majilpur Halt,JNM,West Bengal,ER,"Jaynagar, West Bengal",22.168635,88.415324
NASIRABAD,NSD,Rajasthan,NWR,"Nasirabad, Rajasthan",26.294459999999997,74.71699100000001
PATHARIA,PHA,,,,23.905726,79.192899
NIZAMABAD,NZB,Andhra Pradesh,SCR,"Nizamabad, Andhra Pradesh",18.679164999999998,78.103238
RAJENDRA PUL,RJO,,,,25.387446999999998,86.01054599999999
ADUTURAI,ADT,Tamil Nadu,SR,"Aduthurai, Tamil Nadu",11.009165,79.478668
KUMBAKONAM,KMU,Tamil Nadu,SR,"Kumbakonam, Tamil Nadu",10.952962,79.388644
MANAMADURAI JN,MNM,Tamil Nadu,SR,"Sivaganga, Tamil Nadu",9.681538999999999,78.45351
GORAKHPUR JN,GKP,,,,26.759311,83.381499
BJUP,BJUP,,,,,
VARNAMA,VRM,,,,22.184274000000002,73.16928300000001
GORAKHPUR CANT,GKC,,,,26.750649,83.416821
ITOLA,ITA,,,,22.149889,73.156746
CIKA,CIKA,,,,,
XX-CPHO,XX-CPHO,,,,,
BARAUT,BTU,Uttar Pradesh,NR,"Baraut, Uttar Pradesh",29.09692,77.273006
Moga,MOGA,Punjab,NR,"Moga, Punjab",30.817296,75.16846699999999
SAMAKHIALI JN,SIOB,,,,23.309819,70.503394
LLHW,LLHW,,,,,
Rasheedpura Khori,RDK,Rajasthan,NWR,"MDR 87, Rajasthan",27.713786000000002,75.087121
PEDDAVADIAPUDI,PVD,,,,16.414205000000003,80.612645
ELLAMANCHILI,YLM,,,,17.553652000000003,82.85262
Chatrappatti,CHPT,,,,10.476970999999999,77.655113
JARWAL ROAD,JLD,,,,27.120389,81.540406
